Rank_2025_26,State,Exports_2021_22_USD_Mn,Exports_2022_23_USD_Mn,Exports_2023_24_USD_Mn,Exports_2024_25_USD_Mn,Exports_2025_26_USD_Mn,CAGR_2021_22_to_2025_26_pct,Growth_2025_26_vs_2024_25_pct,Share_2025_26_pct,Financial_Year,Currency,Unit,Source
13,Madhya Pradesh,7834.81,8218.22,7880.24,7824.85,7787.78,-0.15,-0.47,1.76,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
14,Punjab,7095.65,6581.8,6745.15,7040.52,7165.17,0.24,1.77,1.62,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
15,Kerala,4577.9,4374.26,8172.39,4772.24,5155.11,3.01,8.02,1.17,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
16,Dadra & Nagar Haveli and Daman & Diu,4560.03,4551.74,4659.8,4645.68,4787.25,1.22,3.05,1.08,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
17,Goa,2432.54,2453.5,2391.21,2476.25,2810.84,3.68,13.51,0.64,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
18,Himachal Pradesh,2147.46,2182.81,2316.92,2427.63,2603.18,4.93,7.23,0.59,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
19,Jharkhand,2449.27,1398.07,1898.03,1897.77,2375.81,-0.76,25.19,0.54,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
20,Bihar,2308.6,2610.39,2024.64,2041.24,2113.06,-2.19,3.52,0.48,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
21,Chhattisgarh,3388.69,2675.38,2016.8,2188.95,2112.44,-11.14,-3.5,0.48,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
22,Uttarakhand,1933.99,1778.06,1804.95,1768.65,1558.93,-5.25,-11.86,0.35,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
23,Assam,450.42,497.08,442.26,550.58,609.16,7.84,10.64,0.14,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
24,Puducherry,491.85,517.75,517.32,516.81,561.89,3.38,8.72,0.13,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
25,Jammu and Kashmir,246.07,212.53,192.85,227.99,306.77,5.67,34.55,0.07,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
26,Chandigarh,98.81,135.51,108.88,116.86,127.02,6.48,8.69,0.03,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
27,Meghalaya,8.64,10.12,15.54,42.34,120.05,93.04,183.52,0.03,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
28,Sikkim,18.91,19.08,17.31,19.63,23.83,5.95,21.43,0.01,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
29,Tripura,12.19,14.64,1.6,12.13,15.05,5.41,24.04,0.0,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
30,Manipur,0.93,0.69,0.31,1.21,2.54,28.44,110.2,0.0,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
31,Nagaland,1.14,1.36,1.38,1.6,2.35,19.88,47.09,0.0,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
32,Mizoram,3.83,0.04,0.08,0.23,1.34,-23.04,483.21,0.0,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
33,Arunachal Pradesh,1.7,4.55,2.9,1.93,0.91,-14.52,-53.02,0.0,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
34,Andaman and Nicobar Islands,1.14,59.07,1.0,1.05,0.75,-10.0,-28.62,0.0,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
35,Ladakh,0.03,0.02,0.03,0.08,0.06,17.19,-33.24,0.0,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
36,Lakshadweep,0.16,0.0003,0.16,0.75,0.002,-68.34,-99.78,0.0,2025-26,USD,Million USD,Indian Trade Portal / State Export Profile 2025-26
